Annual Total,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
2002,21.903989,23.510081,38.186812,83.66164,8.145429,2.689017,0.171164,0.05998,0.105334,2.700621,5.726116,97.604781
2003,22.320928,22.830642,38.77023,83.972316,7.959622,2.792539,0.173445,0.058432,0.113273,2.806471,5.94416,97.898002
2004,22.466195,22.923061,40.210005,85.737022,8.222774,2.688468,0.178147,0.058376,0.141664,3.008073,6.074726,100.07312
2005,22.796543,22.565364,40.282775,85.688873,8.16081,2.702942,0.180703,0.057893,0.178088,3.11393,6.233556,100.167783
2006,22.44716,22.238738,39.803373,84.550058,8.214626,2.869035,0.1812,0.060755,0.263738,3.26214,6.636868,99.464402
2007,22.749466,23.662759,39.44519,85.882606,8.458589,2.446389,0.185774,0.065621,0.340503,3.484824,6.52311,100.970938
2008,22.387437,23.842953,36.841019,83.112182,8.426491,2.511108,0.192433,0.074207,0.545548,3.851392,7.174689,98.825348
2009,19.691205,23.41594,34.860211,77.943545,8.35522,2.668824,0.200185,0.078178,0.721129,3.940009,7.608324,94.023277
2010,20.833968,24.574754,35.415769,80.818319,8.434433,2.538541,0.207979,0.091282,0.923427,4.505882,8.267112,97.608497
2011,19.657784,24.954539,34.726713,79.35014,8.268698,3.102852,0.212311,0.112429,1.167636,4.608932,9.20416,96.950099
2012,17.378234,26.088582,33.938575,77.409374,8.061822,2.628702,0.211592,0.158961,1.340059,4.507805,8.847119,94.479572
2013,18.038633,26.805134,34.499566,79.325912,8.244433,2.562382,0.214006,0.224524,1.601359,4.848354,9.450625,97.218443
2014,17.997632,27.382833,34.763494,80.122399,8.337559,2.466577,0.21449,0.337412,1.727542,4.994208,9.740229,98.381746
2015,15.54887,28.191095,35.477609,79.199793,8.336886,2.321177,0.211836,0.426621,1.777306,4.983358,9.720298,97.484457
2016,14.225905,28.400352,35.816631,78.423748,8.426753,2.472442,0.209604,0.570008,2.095595,5.020163,10.367812,97.445219
2017,13.837465,28.034233,36.173585,78.016749,8.418968,2.766969,0.210233,0.776888,2.34289,5.084265,11.181246,97.809108
2018,13.241336,30.96481,36.945274,81.125774,8.441226,2.687652,0.217619,0.951353,2.533131,5.127819,11.517574,101.236302
